Topic,Model,AveragePrecision,Precision@10,DCG@10
R101,Baseline1,0.6848924022837066,0.5,3.2474246260211674
R101,Baseline2,0.6848924022837066,0.5,3.2474246260211674
R101,Model_C,0.5301304975218019,0.5,2.7474246260211674
R102,Baseline1,0.7924974556971561,0.6,3.4340242377576446
R102,Baseline2,0.7891013115049049,0.6,3.4340242377576446
R102,Model_C,0.8105278137089342,0.7,3.6056963016513954
R103,Baseline1,0.3834981667799152,0.5,2.8739897479140213
R103,Baseline2,0.3449068417788249,0.4,2.4319597492354386
R103,Model_C,0.43851625898444624,0.5,3.035651017353604
R104,Baseline1,0.9153278098867003,1.0,5.254494511770457
R104,Baseline2,0.838239485892363,0.7,4.207323081247354
R104,Model_C,0.9298140366575424,0.9,4.8238179536970645
R105,Baseline1,0.769689364213358,0.7,4.022787958033083
R105,Baseline2,0.6507657531022468,0.7,2.754494511770458
R105,Model_C,0.701343393717136,0.7,3.5521768277501873
R106,Baseline1,0.4252450980392157,0.2,1.3868528072345416
R106,Baseline2,0.4140006335128286,0.2,1.3562071871080221
R106,Model_C,0.421969696969697,0.2,1.4306765580733931
R107,Baseline1,0.358974358974359,0.2,1.5
R107,Baseline2,0.30409356725146197,0.2,1.1309297535714573
R107,Model_C,0.3,0.2,1.1309297535714573
R108,Baseline1,0.1284722222222222,0.1,0.3333333333333333
R108,Baseline2,0.1283068783068783,0.1,0.3154648767857287
R108,Model_C,0.17965367965367965,0.1,0.5
R109,Baseline1,0.6346408537852053,0.6,3.7073230812473548
R109,Baseline2,0.6620943037985147,0.7,4.120131182773143
R109,Model_C,0.660992760142987,0.5,3.2868837451814152
R110,Baseline1,0.48666666666666664,0.4,1.948459118879392
R110,Baseline2,0.349017094017094,0.4,1.7104045217639123
R110,Model_C,0.608970099667774,0.4,2.689540520441356
R111,Baseline1,0.13075396825396826,0.0,0.0
R111,Baseline2,0.13075396825396826,0.0,0.0
R111,Model_C,0.17727272727272728,0.1,0.30102999566398114
R112,Baseline1,1.0,0.6,3.948459118879392
R112,Baseline2,0.9444444444444445,0.6,3.877071188430579
R112,Model_C,1.0,0.6,3.948459118879392
R113,Baseline1,0.6353493232465427,0.6,3.7474246260211674
R113,Baseline2,0.5700696271774702,0.6,3.218843494416854
R113,Model_C,0.7100776674306086,0.7,4.195969640642165
R114,Baseline1,0.885,0.5,3.3949396449781837
R114,Baseline2,0.9266666666666665,0.5,3.448459118879392
R114,Model_C,0.8261904761904761,0.5,3.243059994342564
R115,Baseline1,0.32539682539682535,0.2,1.1309297535714573
R115,Baseline2,0.23792270531400964,0.2,0.8868528072345416
R115,Model_C,0.29347826086956524,0.2,1.3333333333333333
R116,Baseline1,0.30110789310027514,0.2,1.3154648767857287
R116,Baseline2,0.2596858477127125,0.1,1.0
R116,Model_C,0.2654263839436371,0.3,1.0585248711282924
R117,Baseline1,0.2686868686868687,0.2,0.9319597492354386
R117,Baseline2,0.48333333333333334,0.2,1.3010299956639813
R117,Model_C,0.5213675213675214,0.2,1.3868528072345416
R118,Baseline1,0.29444444444444445,0.3,1.1878828028985229
R118,Baseline2,0.2240740740740741,0.2,0.7461414348591218
R118,Model_C,0.26190476190476186,0.3,1.0585248711282924
R119,Baseline1,0.13212949653545628,0.0,0.0
R119,Baseline2,0.13212949653545628,0.0,0.0
R119,Model_C,0.2098776223776224,0.1,0.30102999566398114
R120,Baseline1,0.5234989648033126,0.6,3.18945462469975
R120,Baseline2,0.5612551440329218,0.5,2.8949396449781837
R120,Model_C,0.4607144852242892,0.3,2.1309297535714573
R121,Baseline1,0.6007837917775806,0.6,3.7104045217639126
R121,Baseline2,0.6991595245674592,0.7,4.18945462469975
R121,Model_C,0.755241688590005,0.8,4.4390296349847285
R122,Baseline1,0.5527895873712941,0.4,2.0050053972270843
R122,Baseline2,0.5549338368839648,0.4,2.0050053972270843
R122,Model_C,0.5756956998197408,0.4,2.173736552415957
R123,Baseline1,0.4772727272727273,0.1,1.0
R123,Baseline2,0.42016806722689076,0.1,1.0
R123,Model_C,0.41053391053391053,0.1,1.0
R124,Baseline1,0.39051689051689054,0.4,2.1895405204413554
R124,Baseline2,0.43659818442427145,0.4,2.2868837451814152
R124,Model_C,0.31249999999999994,0.3,1.6895405204413554
R125,Baseline1,0.7177513227513228,0.7,4.2104045217639126
R125,Baseline2,0.5425198412698414,0.7,3.3982873246624354
R125,Model_C,0.7208928571428572,0.7,4.207323081247354
R126,Baseline1,0.5824732290367892,0.7,2.754494511770458
R126,Baseline2,0.6086634892052004,0.6,2.9340242377576446
R126,Model_C,0.735129828442969,0.7,3.8080998814132716
R127,Baseline1,0.5746031746031746,0.5,2.472702059557732
R127,Baseline2,0.42329004329004327,0.4,2.044089990006545
R127,Model_C,0.5432900432900433,0.4,2.076393327675897
R128,Baseline1,0.3280844155844156,0.1,1.0
R128,Baseline2,0.14337318087318088,0.1,0.5
R128,Model_C,0.1333519677996422,0.2,0.6343633289973145
R129,Baseline1,0.4977382602362585,0.4,2.964263086904791
R129,Baseline2,0.46990279073506475,0.6,3.195969640642165
R129,Model_C,0.7150711803853896,0.7,4.195969640642165
R130,Baseline1,0.6984126984126983,0.3,1.9871369406794794
R130,Baseline2,0.5916666666666667,0.3,1.7640098914067264
R130,Model_C,0.7000000000000001,0.3,1.9306765580733931
R131,Baseline1,0.42457542457542463,0.1,1.0
R131,Baseline2,0.2517857142857143,0.1,1.0
R131,Model_C,0.15929487179487178,0.1,0.3562071871080222
R132,Baseline1,0.23071301620063228,0.2,1.4306765580733931
R132,Baseline2,0.22572783499364654,0.2,1.4306765580733931
R132,Model_C,0.24299718548087082,0.2,1.6309297535714573
R133,Baseline1,1.0,0.5,3.56160631164485
R133,Baseline2,1.0,0.5,3.56160631164485
R133,Model_C,1.0,0.5,3.56160631164485
R134,Baseline1,0.17903762903762904,0.1,0.38685280723454163
R134,Baseline2,0.19701572936867057,0.1,0.6309297535714574
R134,Model_C,0.20731601731601734,0.2,0.9319597492354386
R135,Baseline1,0.3821135716710251,0.2,0.6895405204413555
R135,Baseline2,0.5461277933692986,0.4,2.4319597492354386
R135,Model_C,0.7122374887592279,0.6,3.948459118879392
R136,Baseline1,0.3654425883256528,0.4,2.1343633289973143
R136,Baseline2,0.43523193760262724,0.4,2.1164948724497097
R136,Model_C,0.477845876983808,0.3,2.06160631164485
R137,Baseline1,1.0,0.3,2.6309297535714573
R137,Baseline2,0.8666666666666667,0.3,2.430676558073393
R137,Model_C,1.0,0.3,2.6309297535714573
R138,Baseline1,0.2095092999182491,0.1,1.0
R138,Baseline2,0.2159669144430636,0.1,0.3562071871080222
R138,Model_C,0.3030952964740273,0.1,1.0
R139,Baseline1,0.8666666666666667,0.3,2.430676558073393
R139,Baseline2,0.7380952380952381,0.2,2.0
R139,Model_C,0.7916666666666666,0.3,2.3333333333333335
R140,Baseline1,0.812765611295023,0.9,4.8238179536970645
R140,Baseline2,0.6931240981240981,0.9,4.254494511770457
R140,Model_C,0.6669235717036303,0.8,3.754494511770458
R141,Baseline1,0.8436196918360164,0.9,4.898287324662435
R141,Baseline2,0.7030539874373783,0.6,3.547171430523103
R141,Model_C,0.7953706905083263,0.9,4.953464516106476
R142,Baseline1,0.17713675213675212,0.1,0.3154648767857287
R142,Baseline2,0.17713675213675212,0.1,0.3154648767857287
R142,Model_C,0.20238095238095238,0.2,0.7201861405678749
R143,Baseline1,0.13027713027713028,0.0,0.0
R143,Baseline2,0.10663402457757296,0.0,0.0
R143,Model_C,0.11843711843711843,0.0,0.0
R144,Baseline1,0.37609751359751353,0.3,1.7201861405678749
R144,Baseline2,0.40537328168907116,0.4,1.7511468320862058
R144,Model_C,0.4963675213675213,0.4,1.948459118879392
R145,Baseline1,0.045437330700488596,0.0,0.0
R145,Baseline2,0.05745835548467128,0.0,0.0
R145,Model_C,0.047036951874146284,0.0,0.0
R146,Baseline1,0.38201812455807976,0.1,1.0
R146,Baseline2,0.3435565860965412,0.1,1.0
R146,Model_C,0.3435565860965412,0.1,1.0
R147,Baseline1,0.6442982456140351,0.5,2.948459118879392
R147,Baseline2,0.3651919396600247,0.4,1.802601817465208
R147,Model_C,0.3776604554865424,0.3,1.9871369406794794
R148,Baseline1,0.3675776715114951,0.1,0.30102999566398114
R148,Baseline2,0.3675776715114951,0.1,0.30102999566398114
R148,Model_C,0.3675776715114951,0.1,0.30102999566398114
R149,Baseline1,0.20048133153396314,0.2,0.6164948724497099
R149,Baseline2,0.2088729399255715,0.2,0.6164948724497099
R149,Model_C,0.23108391608391607,0.2,0.6343633289973145
R150,Baseline1,0.41944444444444445,0.4,1.7639239956651207
R150,Baseline2,0.4861111111111111,0.4,2.2023176840202705
R150,Model_C,0.43333333333333335,0.4,1.8188125564699802
